7 DIGITS
[1002887, 1003001]0.001001119613647461 seconds
[1010203, 1000081]0.0020012855529785156 seconds
[1000669, 1005481]0.0010013580322265625 seconds
[1000999, 1008001]0.0010006427764892578 seconds
[1005581, 1012573]0.0010013580322265625 seconds
[1011001, 1010003]0.0010006427764892578 seconds
[1002341, 1010003]0.0020017623901367188 seconds
[1000999, 1003001]0.0010008811950683594 seconds
[1005581, 1015423]0.0010013580322265625 seconds

8 DIGITS
[20153153, 20202019] 0.00600123405456543 seconds
[10234759, 10699891] 0.009008407592773438 seconds
[10307137, 10235749] 0.006005525588989258 seconds
[20213233, 10235749] 0.009008646011352539 seconds
[10321919, 10699891] 0.008007049560546875 seconds
[10699181, 10282339] 0.009007930755615234 seconds
[10466689, 20200109] 0.010009050369262695 seconds
[10307137, 10620793] 0.005005836486816406 seconds
[20153153, 10312007] 0.006006956100463867 seconds

12 DIGITS
[126704222713, 127397154761] 1.8307743072509766 seconds
[131681894401, 101234567897] 1.2716944217681885 seconds
[101234567897, 129866728583] 1.906259298324585 seconds
[123462985007, 125411328001] 0.2777700424194336 seconds
[124567987631, 101601701401] 0.5775938034057617 seconds
[134141142143, 101601701401] 0.44940853118896484 seconds
[126704222713, 129866728583] 1.0921618938446045 seconds
[130147795189, 101740496633] 0.9959547519683838 seconds
[101111111111, 101107157131] 1.9348013401031494 seconds

15 Digits
[18826507658281, 20215043836789] 11.738175868988037 seconds
[18826507658281, 20325153628489] 4.810985326766968 seconds
[18826507658281, 18285670562881] 13.408431053161621 seconds
[18640889198609, 20991129234731] 8.283434629440308 seconds

16 DIGITS
[1235711131175321, 1208152477719361] 63.18745040893555 seconds
[1510553619999637, 1235711131175321] 56.66372585296631 seconds
[1333333333333333, 1311870831664661] 230.4359004497528 seconds
[1593350922240001, 1657688103077659] 120.59042835235596 seconds
[1238926361552897, 1737476797107127] 79.5329658985138 seconds
[1311753223571113, 1391098979592919] 105.0125138759613 seconds
[1737476797107127, 1301477951890177] 150.05079317092896 seconds
[1235711131175321, 1616668118999191] 126.47588181495667 seconds
[1510553619999637, 1657688103077659] 111.79909920692444 seconds
[1208152477719361, 1311753223571113] 89.68966937065125 seconds

16 DIGITS PART 2

[3325997869054417, 2956667885147129] 161.7314875125885 seconds
[2345678911111111, 4547495153555759] 220.9388906955719 seconds
[2828074326968519, 2744337540964913] 215.86168479919434 seconds
[3940518300860411, 4444280714420857] 124.70936298370361 seconds
[4444280714420857, 2345678911111111] 165.19753646850586 seconds
[2573253757232573, 3733799929399999] 113.4826967716217 seconds
[2357353373727757, 2357275332573527] 129.06984066963196 seconds
[2345678911111111, 3733799929399999] 207.01924204826355 seconds
[2357275332573527, 3733799929399999] 166.67637705802917 seconds
[2355457523880889, 2956667885147129] 172.9852752685547 seconds
[3391382115599173, 2573253757232573] 36.69301199913025 seconds
[3391382115599173, 2956667885147129] 100.26417779922485 seconds
